sample,cold_reduction_percent,true_strain,work_hardening_rate_MPa
7 M-1,0,0.1795,1126.7836
7 M-1,0,0.18025,1120.4686
7 M-1,0,0.181,1108.6213
7 M-1,0,0.18175,1095.5526
7 M-1,0,0.1825,1087.1144
7 M-1,0,0.18325,1080.7895
7 M-1,0,0.184,1075.8604
7 M-1,0,0.18475,1069.9441
7 M-1,0,0.1855,1066.743
7 M-1,0,0.18625,1063.7653
7 M-1,0,0.187,1063.1517
7 M-1,0,0.18775,1066.7481
7 M-1,0,0.1885,1067.9672
7 M-1,0,0.18925,1070.4021
7 M-1,0,0.19,1068.4034
7 M-1,0,0.19075,1065.2162
7 M-1,0,0.1915,1058.4163
7 M-1,0,0.19225,1054.4827
7 M-1,0,0.193,1055.0474
7 M-1,0,0.19375,1053.3926
7 M-1,0,0.1945,1054.2613
7 M-1,0,0.19525,1057.2328
7 M-1,0,0.196,1058.2096
7 M-1,0,0.19675,1058.9714
7 M-1,0,0.1975,1059.3001
7 M-1,0,0.19825,1059.4769
7 M-1,0,0.199,1053.3151
7 M-1,0,0.19975,1051.1736
7 M-1,0,0.2005,1049.4211
7 M-1,0,0.20125,1047.6493
7 M-1,0,0.202,1053.254
7 M-1,0,0.20275,1058.0505
7 M-1,0,0.2035,1061.2157
7 M-1,0,0.20425,1061.1543
7 M-1,0,0.205,1054.3218
7 M-1,0,0.20575,1046.7817
7 M-1,0,0.2065,1042.1401
7 M-1,0,0.20725,1038.8631
7 M-1,0,0.208,1038.9641
7 M-1,0,0.20875,1041.4737
7 M-1,0,0.2095,1039.3959
7 M-1,0,0.21025,1036.3343
7 M-1,0,0.211,1031.5149
7 M-1,0,0.21175,1023.125
7 M-1,0,0.2125,1019.2273
7 M-1,0,0.21325,1016.6395
7 M-1,0,0.214,1011.3895
7 M-1,0,0.21475,1013.767
7 M-1,0,0.2155,1017.4123
7 M-1,0,0.21625,1021.991
7 M-1,0,0.217,1031.4479
7 M-1,0,0.21775,1031.4956
7 M-1,0,0.2185,1030.4445
7 M-1,0,0.21925,1027.3113
7 M-1,0,0.22,1019.1091
7 M-1,0,0.22075,1018.0819
7 M-1,0,0.2215,1017.6244
7 M-1,0,0.22225,1019.8794
7 M-1,0,0.223,1019.5919
7 M-1,0,0.22375,1013.0725
7 M-1,0,0.2245,1001.1528
7 M-1,0,0.22525,991.49538
7 M-1,0,0.226,986.38001
7 M-1,0,0.22675,984.75484
7 M-1,0,0.2275,988.16773
7 M-1,0,0.22825,989.82855
7 M-1,0,0.229,988.10886
7 M-1,0,0.22975,980.44576
7 M-1,0,0.2305,969.33249
7 M-1,0,0.23125,959.88074
7 M-1,0,0.232,956.45452
7 M-1,0,0.23275,960.06593
7 M-1,0,0.2335,966.78122
7 M-1,0,0.23425,976.49538
7 M-1,0,0.235,990.84903
7 M-1,0,0.23575,1002.6308
7 M-1,0,0.2365,1012.5977
7 M-1,0,0.23725,1014.7155
7 M-1,0,0.238,1013.9621
7 M-1,0,0.23875,1007.2322
7 M-1,0,0.2395,997.88664
7 M-1,0,0.24025,990.99096
7 M-1,0,0.241,990.45494
7 M-1,0,0.24175,993.45545
7 M-1,0,0.2425,993.76289
7 M-1,0,0.24325,990.91095
7 M-1,0,0.244,981.57171
7 M-1,0,0.24475,968.06875
7 M-1,0,0.2455,955.27577
7 M-1,0,0.24625,943.78577
7 M-1,0,0.247,936.79724
7 M-1,0,0.24775,932.38209
7 M-1,0,0.2485,929.10916
7 M-1,0,0.24925,922.0432
7 M-1,0,0.25,920.13778
7 M-1,0,0.25075,921.82366
7 M-1,0,0.2515,925.44221
7 M-1,0,0.25225,933.5854
7 M-1,0,0.253,941.61858
7 M-1,0,0.25375,947.79722
7 M-1,0,0.2545,946.4399
7 M-1,0,0.25525,942.64313
7 M-1,0,0.256,931.47162
7 M-1,0,0.25675,922.01483
7 M-1,0,0.2575,910.35032
7 M-1,0,0.25825,897.76605
7 M-1,0,0.259,889.28618
7 M-1,0,0.25975,884.46545
7 M-1,0,0.2605,884.54284
7 M-1,0,0.26125,885.50256
7 M-1,0,0.262,887.90975
7 M-1,0,0.26275,887.2885
7 M-1,0,0.2635,883.63852
7 M-1,0,0.26425,877.50154
7 M-1,0,0.265,867.62593
7 M-1,0,0.26575,860.57246
7 M-1,0,0.2665,852.37425
7 M-1,0,0.26725,847.34896
7 M-1,0,0.268,849.06571
7 M-1,0,0.26875,856.92956
7 M-1,0,0.2695,870.71758
7 M-1,0,0.27025,886.13607
7 M-1,0,0.271,902.05775
7 M-1,0,0.27175,906.88532
7 M-1,0,0.2725,905.7153
7 M-1,0,0.27325,895.75351
7 M-1,0,0.274,886.65147
7 M-1,0,0.27475,878.69973
7 M-1,0,0.2755,875.31791
7 M-1,0,0.27625,870.32841
7 M-1,0,0.277,864.41044
7 M-1,0,0.27775,853.64922
7 M-1,0,0.2785,842.54716
7 M-1,0,0.27925,826.14069
7 M-1,0,0.28,812.11609
7 M-1,0,0.28075,797.55961
7 M-1,0,0.2815,785.98208
7 M-1,0,0.28225,781.56891
7 M-1,0,0.283,781.37085
7 M-1,0,0.28375,790.13867
7 M-1,0,0.2845,791.44398
7 M-1,0,0.28525,796.86396
7 M-1,0,0.286,791.81103
7 M-1,0,0.28675,785.58055
7 M-1,0,0.2875,774.38948
7 M-1,0,0.28825,769.62618
7 M-1,0,0.289,769.42741
7 M-1,0,0.28975,773.01973
7 M-1,0,0.2905,774.22149
7 M-1,0,0.29125,772.81761
7 M-1,0,0.292,770.10689
7 M-1,0,0.29275,767.07933
7 M-1,0,0.2935,765.30021
7 M-1,0,0.29425,761.92563
7 M-1,0,0.295,760.87917
7 M-1,0,0.29575,756.82284
7 M-1,0,0.2965,747.31185
7 M-1,0,0.29725,732.8354
7 M-1,0,0.298,718.43551
7 M-1,0,0.29875,705.94867
7 M-1,0,0.2995,692.81095
7 M-1,0,0.30025,690.85209
7 M-1,0,0.301,685.58425
7 M-1,0,0.30175,684.44963
7 M-1,0,0.3025,679.07538
7 M-1,0,0.30325,674.46664
7 M-1,0,0.304,668.09013
7 M-1,0,0.30475,658.76488
7 M-1,0,0.3055,655.82868
7 M-1,0,0.30625,651.7178
7 M-1,0,0.307,654.6701
7 M-1,0,0.30775,651.31006
7 M-1,0,0.3085,641.45019
7 M-1,0,0.30925,628.96862
7 M-1,0,0.31,615.25156
7 M-1,0,0.31075,601.87422
7 M-1,0,0.3115,592.54049
7 M-1,0,0.31225,584.46671
7 M-1,0,0.313,581.07914
7 M-1,0,0.31375,572.30263
7 M-1,0,0.3145,560.80719
7 M-1,0,0.31525,547.02545
7 M-1,0,0.316,533.25451
7 M-1,0,0.31675,518.30089
7 M-1,0,0.3175,506.44702
7 M-1,0,0.31825,494.40614
7 M-1,0,0.319,481.86142
7 M-1,0,0.31975,468.1985
7 M-1,0,0.3205,452.90982
7 M-1,0,0.32125,441.38229
7 M-1,0,0.322,428.16857
7 M-1,0,0.32275,420.38845
7 M-1,0,0.3235,418.23082
7 M-1,0,0.32425,420.98534
7 M-1,0,0.325,415.34868
7 M-1,0,0.32575,407.30974
7 M-1,0,0.3265,386.16372
7 M-1,0,0.32725,363.00349
7 M-1,0,0.328,337.55761
7 M-1,0,0.32875,315.52558
7 M-1,0,0.3295,292.70829
7 M-1,0,0.33025,272.91406
7 M-1,0,0.331,248.85023
7 M-1,0,0.33175,222.10624
7 M-1,0,0.3325,193.51766
7 M-1,0,0.33325,164.67941
7 M-1,0,0.334,137.48524
7 M-1,0,0.33475,107.50453
7 M-1,0,0.3355,78.208823
7 M-1,0,0.33625,44.099995
7 M-1,0,0.337,12.005197
7 M-1,0,0.33775,0
7 M-1,0,0.3385,0
7 M-1,0,0.33925,0
7 M-1,0,0.34,0
7 M-1,0,0.34075,0
7 M-1,0,0.3415,0
7 M-1,0,0.34225,0
7 M-1,0,0.343,0
7 M-1,0,0.34375,0
7 M-1,0,0.3445,0
7 M-1,0,0.34525,0
7 M-1,0,0.346,0
7 M-1,0,0.34675,0
7 M-1,0,0.3475,0
7 M-1,0,0.34825,0
7 M-1,0,0.349,0
7 M-1,0,0.34975,0
7 M-1,0,0.3505,0
7 M-1,0,0.35125,0
7 M-1,0,0.352,0
7 M-1,0,0.35275,0
7 M-1,0,0.3535,0
7 M-1,0,0.35425,0
7 M-1,0,0.355,0
7 M-1,0,0.35575,0
7 M-1,0,0.3565,0
7 M-1,0,0.35725,0
7 M-1,0,0.358,0
7 M-1,0,0.35875,0
7 M-1,0,0.3595,0
7 M-1,0,0.36025,0
7 M-1,0,0.361,0
7 M-1,0,0.36175,0
7 M-1,0,0.3625,0
7 M-1,0,0.36325,0
7 M-1,0,0.364,0
7 M-1,0,0.36475,0
7 M-1,0,0.3655,0
7 M-1,0,0.36625,0
6.48 Y-1,14.3053,0.01225,3405.3479
6.48 Y-1,14.3053,0.0125,3273.6237
6.48 Y-1,14.3053,0.01275,3141.541
6.48 Y-1,14.3053,0.013,3012.9339
6.48 Y-1,14.3053,0.01325,2885.7168
6.48 Y-1,14.3053,0.0135,4052.5885
6.48 Y-1,14.3053,0.01375,3812.4887
6.48 Y-1,14.3053,0.014,3589.1415
6.48 Y-1,14.3053,0.01425,3383.7016
6.48 Y-1,14.3053,0.0145,3191.416
6.48 Y-1,14.3053,0.01475,3015.9651
6.48 Y-1,14.3053,0.015,2524.9107
6.48 Y-1,14.3053,0.01525,2110.7838
6.48 Y-1,14.3053,0.0155,1761.0524
6.48 Y-1,14.3053,0.01575,1464.1793
6.48 Y-1,14.3053,0.016,1217.6202
6.48 Y-1,14.3053,0.01625,1012.0605
6.48 Y-1,14.3053,0.0165,840.33011
6.48 Y-1,14.3053,0.01675,697.87118
6.48 Y-1,14.3053,0.017,578.36991
6.48 Y-1,14.3053,0.01725,479.71441
6.48 Y-1,14.3053,0.0175,397.95495
6.48 Y-1,14.3053,0.01775,330.12805
6.48 Y-1,14.3053,0.018,275.06486
6.48 Y-1,14.3053,0.01825,231.37129
6.48 Y-1,14.3053,0.0185,201.0508
6.48 Y-1,14.3053,0.01875,177.05292
6.48 Y-1,14.3053,0.019,161.51318
6.48 Y-1,14.3053,0.01925,152.38557
6.48 Y-1,14.3053,0.0195,148.75235
6.48 Y-1,14.3053,0.01975,150.90072
6.48 Y-1,14.3053,0.02,157.88129
6.48 Y-1,14.3053,0.02025,169.34141
6.48 Y-1,14.3053,0.0205,184.8668
6.48 Y-1,14.3053,0.02075,202.19553
6.48 Y-1,14.3053,0.021,220.70101
6.48 Y-1,14.3053,0.02125,239.56207
6.48 Y-1,14.3053,0.0215,260.24672
6.48 Y-1,14.3053,0.02175,280.35702
6.48 Y-1,14.3053,0.022,299.59657
6.48 Y-1,14.3053,0.02225,317.62146
6.48 Y-1,14.3053,0.0225,332.86189
6.48 Y-1,14.3053,0.02275,347.42423
6.48 Y-1,14.3053,0.023,359.35183
6.48 Y-1,14.3053,0.02325,367.5756
6.48 Y-1,14.3053,0.0235,374.25286
6.48 Y-1,14.3053,0.02375,379.83096
6.48 Y-1,14.3053,0.024,383.2186
6.48 Y-1,14.3053,0.02425,385.06589
6.48 Y-1,14.3053,0.0245,385.25263
6.48 Y-1,14.3053,0.02475,384.79391
6.48 Y-1,14.3053,0.025,385.49547
6.48 Y-1,14.3053,0.02525,386.35206
6.48 Y-1,14.3053,0.0255,385.47711
6.48 Y-1,14.3053,0.02575,385.27093
6.48 Y-1,14.3053,0.026,386.85919
6.48 Y-1,14.3053,0.02625,388.19557
6.48 Y-1,14.3053,0.0265,389.59965
6.48 Y-1,14.3053,0.02675,390.31382
6.48 Y-1,14.3053,0.027,390.04566
6.48 Y-1,14.3053,0.02725,391.43215
6.48 Y-1,14.3053,0.0275,392.04415
6.48 Y-1,14.3053,0.02775,391.83512
6.48 Y-1,14.3053,0.028,391.7577
6.48 Y-1,14.3053,0.02825,390.43457
6.48 Y-1,14.3053,0.0285,389.29722
6.48 Y-1,14.3053,0.02875,388.16568
6.48 Y-1,14.3053,0.029,385.55665
6.48 Y-1,14.3053,0.02925,383.08332
6.48 Y-1,14.3053,0.0295,382.47371
6.48 Y-1,14.3053,0.02975,380.58895
6.48 Y-1,14.3053,0.03,377.84127
6.48 Y-1,14.3053,0.03025,375.84912
6.48 Y-1,14.3053,0.0305,372.35276
6.48 Y-1,14.3053,0.03075,370.61882
6.48 Y-1,14.3053,0.031,370.70154
6.48 Y-1,14.3053,0.03125,368.94829
6.48 Y-1,14.3053,0.0315,368.43279
6.48 Y-1,14.3053,0.03175,368.84909
6.48 Y-1,14.3053,0.032,369.3084
6.48 Y-1,14.3053,0.03225,370.81397
6.48 Y-1,14.3053,0.0325,372.54336
6.48 Y-1,14.3053,0.03275,372.89706
6.48 Y-1,14.3053,0.033,374.67579
6.48 Y-1,14.3053,0.03325,376.93132
6.48 Y-1,14.3053,0.0335,377.03882
6.48 Y-1,14.3053,0.03375,379.12784
6.48 Y-1,14.3053,0.034,381.66342
6.48 Y-1,14.3053,0.03425,382.87366
6.48 Y-1,14.3053,0.0345,385.76688
6.48 Y-1,14.3053,0.03475,386.92722
6.48 Y-1,14.3053,0.035,386.45153
6.48 Y-1,14.3053,0.03525,387.52533
6.48 Y-1,14.3053,0.0355,389.14579
6.48 Y-1,14.3053,0.03575,390.23652
6.48 Y-1,14.3053,0.036,392.16294
6.48 Y-1,14.3053,0.03625,392.68506
6.48 Y-1,14.3053,0.0365,391.88596
6.48 Y-1,14.3053,0.03675,393.24008
6.48 Y-1,14.3053,0.037,394.10596
6.48 Y-1,14.3053,0.03725,395.14804
6.48 Y-1,14.3053,0.0375,398.06067
6.48 Y-1,14.3053,0.03775,399.67758
6.48 Y-1,14.3053,0.038,401.51166
6.48 Y-1,14.3053,0.03825,404.37709
6.48 Y-1,14.3053,0.0385,405.53389
6.48 Y-1,14.3053,0.03875,406.82109
6.48 Y-1,14.3053,0.039,409.90083
6.48 Y-1,14.3053,0.03925,411.81113
6.48 Y-1,14.3053,0.0395,412.74812
6.48 Y-1,14.3053,0.03975,414.5425
6.48 Y-1,14.3053,0.04,413.42439
6.48 Y-1,14.3053,0.04025,413.07825
6.48 Y-1,14.3053,0.0405,414.24767
6.48 Y-1,14.3053,0.04075,413.1226
6.48 Y-1,14.3053,0.041,411.8914
6.48 Y-1,14.3053,0.04125,410.78778
6.48 Y-1,14.3053,0.0415,408.39224
6.48 Y-1,14.3053,0.04175,407.00498
6.48 Y-1,14.3053,0.042,405.71472
6.48 Y-1,14.3053,0.04225,402.92112
6.48 Y-1,14.3053,0.0425,400.8994
6.48 Y-1,14.3053,0.04275,400.37837
6.48 Y-1,14.3053,0.043,398.5926
6.48 Y-1,14.3053,0.04325,398.01311
6.48 Y-1,14.3053,0.0435,397.49928
6.48 Y-1,14.3053,0.04375,395.00124
6.48 Y-1,14.3053,0.044,395.91249
6.48 Y-1,14.3053,0.04425,397.20734
6.48 Y-1,14.3053,0.0445,397.11853
6.48 Y-1,14.3053,0.04475,398.48363
6.48 Y-1,14.3053,0.045,399.56767
6.48 Y-1,14.3053,0.04525,398.44834
6.48 Y-1,14.3053,0.0455,397.7059
6.48 Y-1,14.3053,0.04575,396.31696
6.48 Y-1,14.3053,0.046,392.95088
6.48 Y-1,14.3053,0.04625,391.94176
6.48 Y-1,14.3053,0.0465,391.65538
6.48 Y-1,14.3053,0.04675,387.96936
6.48 Y-1,14.3053,0.047,384.57335
6.48 Y-1,14.3053,0.04725,380.21042
6.48 Y-1,14.3053,0.0475,374.61176
6.48 Y-1,14.3053,0.04775,371.13913
6.48 Y-1,14.3053,0.048,367.51882
6.48 Y-1,14.3053,0.04825,362.92886
6.48 Y-1,14.3053,0.0485,359.56048
6.48 Y-1,14.3053,0.04875,355.94851
6.48 Y-1,14.3053,0.049,351.67395
6.48 Y-1,14.3053,0.04925,349.76343
6.48 Y-1,14.3053,0.0495,348.96233
6.48 Y-1,14.3053,0.04975,348.6241
6.48 Y-1,14.3053,0.05,349.88412
6.48 Y-1,14.3053,0.05025,351.17045
6.48 Y-1,14.3053,0.0505,351.06117
6.48 Y-1,14.3053,0.05075,353.45763
6.48 Y-1,14.3053,0.051,356.64396
6.48 Y-1,14.3053,0.05125,358.52239
6.48 Y-1,14.3053,0.0515,361.43415
6.48 Y-1,14.3053,0.05175,364.01566
6.48 Y-1,14.3053,0.052,364.17653
6.48 Y-1,14.3053,0.05225,364.92285
6.48 Y-1,14.3053,0.0525,365.0164
6.48 Y-1,14.3053,0.05275,364.72749
6.48 Y-1,14.3053,0.053,365.45237
6.48 Y-1,14.3053,0.05325,366.54013
6.48 Y-1,14.3053,0.0535,365.08018
6.48 Y-1,14.3053,0.05375,363.6035
6.48 Y-1,14.3053,0.054,363.0412
6.48 Y-1,14.3053,0.05425,361.67271
6.48 Y-1,14.3053,0.0545,360.86826
6.48 Y-1,14.3053,0.05475,360.97936
6.48 Y-1,14.3053,0.055,359.55437
6.48 Y-1,14.3053,0.05525,359.24836
6.48 Y-1,14.3053,0.0555,359.44302
6.48 Y-1,14.3053,0.05575,357.91709
6.48 Y-1,14.3053,0.056,357.24869
6.48 Y-1,14.3053,0.05625,357.5884
6.48 Y-1,14.3053,0.0565,357.66859
6.48 Y-1,14.3053,0.05675,358.26214
6.48 Y-1,14.3053,0.057,359.45021
6.48 Y-1,14.3053,0.05725,359.47015
6.48 Y-1,14.3053,0.0575,359.5465
6.48 Y-1,14.3053,0.05775,359.33837
6.48 Y-1,14.3053,0.058,357.15075
6.48 Y-1,14.3053,0.05825,354.70169
6.48 Y-1,14.3053,0.0585,353.6112
6.48 Y-1,14.3053,0.05875,351.1738
6.48 Y-1,14.3053,0.059,348.65243
6.48 Y-1,14.3053,0.05925,347.28075
6.48 Y-1,14.3053,0.0595,345.22292
6.48 Y-1,14.3053,0.05975,342.62519
6.48 Y-1,14.3053,0.06,341.50139
6.48 Y-1,14.3053,0.06025,339.99113
6.48 Y-1,14.3053,0.0605,337.81875
6.48 Y-1,14.3053,0.06075,337.71473
6.48 Y-1,14.3053,0.061,336.52389
6.48 Y-1,14.3053,0.06125,334.59124
6.48 Y-1,14.3053,0.0615,335.17195
6.48 Y-1,14.3053,0.06175,336.15669
6.48 Y-1,14.3053,0.062,337.2974
6.48 Y-1,14.3053,0.06225,339.10219
6.48 Y-1,14.3053,0.0625,340.44792
6.48 Y-1,14.3053,0.06275,341.1951
6.48 Y-1,14.3053,0.063,342.91533
6.48 Y-1,14.3053,0.06325,345.75392
6.48 Y-1,14.3053,0.0635,347.29195
6.48 Y-1,14.3053,0.06375,349.34381
6.48 Y-1,14.3053,0.064,350.82387
6.48 Y-1,14.3053,0.06425,349.73335
6.48 Y-1,14.3053,0.0645,348.73108
6.48 Y-1,14.3053,0.06475,346.28354
6.48 Y-1,14.3053,0.065,342.62391
6.48 Y-1,14.3053,0.06525,339.42985
6.48 Y-1,14.3053,0.0655,335.5713
6.48 Y-1,14.3053,0.06575,329.87208
6.48 Y-1,14.3053,0.066,323.93427
6.48 Y-1,14.3053,0.06625,319.16959
6.48 Y-1,14.3053,0.0665,314.11915
6.48 Y-1,14.3053,0.06675,309.83456
6.48 Y-1,14.3053,0.067,306.01152
6.48 Y-1,14.3053,0.06725,300.81351
6.48 Y-1,14.3053,0.0675,296.44377
6.48 Y-1,14.3053,0.06775,293.82284
6.48 Y-1,14.3053,0.068,291.3745
6.48 Y-1,14.3053,0.06825,289.56815
